County,State,Population,Total Votes,Democrats,Republican,Other
Autauga County,Alabama,48366,20081,4758,15196,127
Baldwin County,Alabama,156266,69320,15599,52971,750
Barbour County,Alabama,28287,10777,4832,5899,46
Bibb County,Alabama,21721,7600,2089,5472,39
Blount County,Alabama,54124,21504,3938,17386,180
Bullock County,Alabama,11056,4717,3210,1494,13
Butler County,Alabama,20870,8416,3413,4979,24
Calhoun County,Alabama,113462,45249,15083,29814,352
Chambers County,Alabama,35463,13032,5347,7622,63
Cherokee County,Alabama,24887,9049,3040,5923,86
Chilton County,Alabama,41534,16693,3778,12829,86
Choctaw County,Alabama,14930,7227,3303,3897,27
Clarke County,Alabama,26958,11394,4627,6730,37
Clay County,Alabama,14121,6576,1893,4624,59
Cleburne County,Alabama,14339,5798,1391,4370,37
Coffee County,Alabama,45053,17616,4480,13019,117
Colbert County,Alabama,54380,23935,10598,13188,149
Conecuh County,Alabama,13430,6021,2719,3271,31
Coosa County,Alabama,11560,5001,2055,2905,41
Covington County,Alabama,36806,14627,3423,11119,85
Crenshaw County,Alabama,13727,5500,1698,3777,25
Cullman County,Alabama,78131,35191,8045,26818,328
Dale County,Alabama,49245,18231,4484,13621,126
Dallas County,Alabama,44795,18573,11175,7335,63
DeKalb County,Alabama,67260,24135,7092,16904,139
Elmore County,Alabama,71018,28680,6471,22056,153
Escambia County,Alabama,37713,12395,3814,8513,68
Etowah County,Alabama,103080,42680,15328,26999,353
Fayette County,Alabama,18022,8002,2408,5534,60
Franklin County,Alabama,30768,12269,4514,7690,65
Geneva County,Alabama,25772,10520,2113,8342,65
Greene County,Alabama,9686,4748,3764,958,26
Hale County,Alabama,16765,7945,4631,3281,33
Henry County,Alabama,16692,7361,2452,4881,28
Houston County,Alabama,92593,36201,9144,26874,183
Jackson County,Alabama,53525,20321,8635,11534,152
Jefferson County,Alabama,656023,292967,132286,158680,2001
Lamar County,Alabama,15075,6885,1956,4894,35
Lauderdale County,Alabama,88732,37107,14628,22161,318
Lawrence County,Alabama,34318,14001,6155,7730,116
Lee County,Alabama,122274,44610,16227,27972,411
Limestone County,Alabama,69593,29073,9126,19702,245
Lowndes County,Alabama,12623,6021,4233,1786,2
Macon County,Alabama,22685,9407,7800,1570,37
Madison County,Alabama,295655,131062,52644,77173,1245
Marengo County,Alabama,21777,10322,5037,5255,30
Marion County,Alabama,30516,12875,3808,8983,84
Marshall County,Alabama,85131,31491,8452,22783,256
Mobile County,Alabama,397959,156771,63732,92014,1025
Monroe County,Alabama,23769,9534,3666,5831,37
Montgomery County,Alabama,223002,89650,45160,44097,393
Morgan County,Alabama,113006,47007,14131,32477,399
Perry County,Alabama,11153,5523,3767,1738,18
Pickens County,Alabama,20380,9132,3915,5170,47
Pike County,Alabama,30593,11883,4334,7483,66
Randolph County,Alabama,22525,9001,2817,6127,57
Russell County,Alabama,49498,16809,8375,8337,97
St. Clair County,Alabama,70416,29161,5456,23500,205
Shelby County,Alabama,165757,78906,14850,63435,621
Sumter County,Alabama,14324,6433,4527,1880,26
Talladega County,Alabama,81139,29898,11374,18331,193
